feature,importance
p2_species_diversity,1.4951361981035751
p1_species_diversity,1.2847797145906144
p1_team_size,1.1900923079977561
p2_team_size,0.8403580334766101
p2_max_bst,0.24119874225032187
p2_bst_std,0.20679148427616542
hp_advantage_p1,0.15705006489789416
p1_total_hp,0.15431332461075495
p1_legendary_count,0.08692339672158218
p2_legendary_count,0.07946389884402663
p1_type_diversity,0.061912884077782185
p1_pseudo_legendary_count,0.05806283126289349
p2_avg_bst,0.05451223304939319
p1_avg_hp,0.044821905322637044
p2_min_bst,0.038263438286790324
p1_min_bst,0.03423472820332754
level_advantage_p1,0.03008236649099061
p1_avg_bst,0.027843251373924748
p1_max_bst,0.026787725810751815
team_size_difference,0.025171788540344287
p2_avg_level,0.021415923250864284
p1_avg_level,0.021031438059052696
bst_advantage_p1,0.0185566484932381
p1_super_effective_count,0.016841746017441202
p2_pseudo_legendary_count,0.015564886254900307
p1_dual_type_count,0.01527156748515269
type_advantage_score,0.014141696156388142
p1_level_std,0.013521367389398443
p2_dual_type_count,0.011993321815780748
p1_bst_std,0.009587507718025296
p2_level_std,0.008388228819306594
p2_avg_hp,0.006561597098857451
p2_super_effective_count,0.0014365039288409842
p2_total_hp,0.0009867698520456825
p2_type_diversity,0.0005149136904028625
p2_resisted_count,0.0
p1_resisted_count,0.0
